AvgTemperature1,Address,Temperature,count(*)
4.5,284f8795f0013ce1,4.5,5
4.5,284f8795f0013ce1,4.5625,12
4.5,284f8795f0013ce1,4.625,30
4.5,284f8795f0013ce1,4.6875,36
4.5,284f8795f0013ce1,4.75,14
4.5,288e8395f0013c56,4.0625,13
4.5,288e8395f0013c56,4.125,44
4.5,288e8395f0013c56,4.1875,38
4.5,288e8395f0013c56,4.25,2
4.5,28b34c95f0013cbc,4.875,10
4.5,28b34c95f0013cbc,4.9375,56
4.5,28b34c95f0013cbc,5,29
4.5,28b34c95f0013cbc,5.0625,2
4.5,28e97895f0013cc6,4.1875,24
4.5,28e97895f0013cc6,4.25,38
4.5,28e97895f0013cc6,4.3125,12
4.5,28e97895f0013cc6,4.375,19
4.5,28e97895f0013cc6,4.4375,4
5.5,284f8795f0013ce1,5.625,2
5.5,284f8795f0013ce1,5.75,2
5.5,284f8795f0013ce1,5.8125,5
5.5,288e8395f0013c56,4.9375,4
5.5,288e8395f0013c56,5,2
5.5,288e8395f0013c56,5.25,3
5.5,28b34c95f0013cbc,5.8125,3
5.5,28b34c95f0013cbc,5.875,2
5.5,28b34c95f0013cbc,5.9375,4
5.5,28e97895f0013cc6,5.0625,3
5.5,28e97895f0013cc6,5.1875,2
5.5,28e97895f0013cc6,5.25,2
5.5,28e97895f0013cc6,5.3125,2
6.5,284f8795f0013ce1,6.8125,14
6.5,284f8795f0013ce1,6.875,6
6.5,288e8395f0013c56,5.875,8
6.5,288e8395f0013c56,5.9375,8
6.5,288e8395f0013c56,6.0625,4
6.5,28b34c95f0013cbc,6.9375,2
6.5,28b34c95f0013cbc,7,10
6.5,28b34c95f0013cbc,7.0625,2
6.5,28b34c95f0013cbc,7.125,6
6.5,28e97895f0013cc6,6.125,2
6.5,28e97895f0013cc6,6.1875,10
6.5,28e97895f0013cc6,6.25,6
6.5,28e97895f0013cc6,6.3125,2
8.5,284f8795f0013ce1,8.9375,2
8.5,284f8795f0013ce1,9.125,4
8.5,284f8795f0013ce1,9.1875,2
8.5,288e8395f0013c56,7.5,4
8.5,288e8395f0013c56,7.5625,2
8.5,288e8395f0013c56,7.75,2
8.5,28b34c95f0013cbc,9,2
8.5,28b34c95f0013cbc,9.1875,4
8.5,28b34c95f0013cbc,9.25,2
8.5,28e97895f0013cc6,8.125,4
8.5,28e97895f0013cc6,8.1875,2
8.5,28e97895f0013cc6,8.4375,2
9.5,284f8795f0013ce1,9.8125,2
9.5,284f8795f0013ce1,9.875,2
9.5,284f8795f0013ce1,9.9375,4
9.5,284f8795f0013ce1,10,4
9.5,284f8795f0013ce1,10.0625,4
9.5,284f8795f0013ce1,10.125,6
9.5,288e8395f0013c56,8.5,4
9.5,288e8395f0013c56,8.5625,8
9.5,288e8395f0013c56,8.625,6
9.5,288e8395f0013c56,8.6875,2
9.5,288e8395f0013c56,8.75,2
9.5,28b34c95f0013cbc,10.0625,12
9.5,28b34c95f0013cbc,10.1875,4
9.5,28b34c95f0013cbc,10.25,4
9.5,28b34c95f0013cbc,10.3125,2
9.5,28e97895f0013cc6,9.1875,4
9.5,28e97895f0013cc6,9.25,8
9.5,28e97895f0013cc6,9.3125,10
10.5,284f8795f0013ce1,10.875,2
10.5,288e8395f0013c56,9.5,2
10.5,28b34c95f0013cbc,11.0625,2
10.5,28e97895f0013cc6,10.75,2
11.5,284f8795f0013ce1,11.875,3
11.5,284f8795f0013ce1,12.4375,2
11.5,288e8395f0013c56,10.125,2
11.5,288e8395f0013c56,11.25,3
11.5,28b34c95f0013cbc,11.8125,3
11.5,28b34c95f0013cbc,12.0625,2
11.5,28e97895f0013cc6,11.0625,3
11.5,28e97895f0013cc6,11.375,2
12.5,284f8795f0013ce1,12.625,21
12.5,284f8795f0013ce1,12.6875,21
12.5,288e8395f0013c56,12.0625,9
12.5,288e8395f0013c56,12.125,27
12.5,288e8395f0013c56,12.1875,6
12.5,28b34c95f0013cbc,12.8125,18
12.5,28b34c95f0013cbc,12.875,21
12.5,28b34c95f0013cbc,12.9375,3
12.5,28e97895f0013cc6,12.1875,3
12.5,28e97895f0013cc6,12.25,9
12.5,28e97895f0013cc6,12.3125,12
12.5,28e97895f0013cc6,12.375,9
12.5,28e97895f0013cc6,12.4375,9
13.5,284f8795f0013ce1,13.5,3
13.5,284f8795f0013ce1,13.5625,12
13.5,284f8795f0013ce1,13.625,6
13.5,288e8395f0013c56,13.125,15
13.5,288e8395f0013c56,13.1875,6
13.5,28b34c95f0013cbc,13.8125,12
13.5,28b34c95f0013cbc,13.875,9
13.5,28e97895f0013cc6,13.375,3
13.5,28e97895f0013cc6,13.4375,15
13.5,28e97895f0013cc6,13.5,3
14.5,284f8795f0013ce1,14.5625,12
14.5,284f8795f0013ce1,14.625,12
14.5,288e8395f0013c56,14.0625,3
14.5,288e8395f0013c56,14.125,12
14.5,288e8395f0013c56,14.1875,9
14.5,28b34c95f0013cbc,14.75,6
14.5,28b34c95f0013cbc,14.8125,9
14.5,28b34c95f0013cbc,14.875,9
14.5,28e97895f0013cc6,14.4375,12
14.5,28e97895f0013cc6,14.5,12
15.5,284f8795f0013ce1,15.5625,6
15.5,284f8795f0013ce1,15.625,18
15.5,284f8795f0013ce1,15.6875,12
15.5,288e8395f0013c56,15.0625,3
15.5,288e8395f0013c56,15.125,18
15.5,288e8395f0013c56,15.1875,15
15.5,28b34c95f0013cbc,15.75,15
15.5,28b34c95f0013cbc,15.8125,21
15.5,28e97895f0013cc6,15.4375,21
15.5,28e97895f0013cc6,15.5,15
16.5,284f8795f0013ce1,16.625,3
16.5,284f8795f0013ce1,16.6875,3
16.5,284f8795f0013ce1,16.75,3
16.5,288e8395f0013c56,16.125,6
16.5,288e8395f0013c56,16.1875,3
16.5,28b34c95f0013cbc,16.6875,3
16.5,28b34c95f0013cbc,16.75,6
16.5,28e97895f0013cc6,16.4375,6
16.5,28e97895f0013cc6,16.5,3
17.5,284f8795f0013ce1,17.75,3
17.5,284f8795f0013ce1,17.8125,3
17.5,288e8395f0013c56,17.0625,3
17.5,288e8395f0013c56,17.125,3
17.5,28b34c95f0013cbc,17.75,3
17.5,28b34c95f0013cbc,17.8125,3
17.5,28e97895f0013cc6,17.375,3
17.5,28e97895f0013cc6,17.4375,3
18.5,284f8795f0013ce1,18.375,11
18.5,284f8795f0013ce1,18.4375,101
18.5,284f8795f0013ce1,18.5,76
18.5,284f8795f0013ce1,18.5625,123
18.5,284f8795f0013ce1,18.625,22
18.5,284f8795f0013ce1,18.6875,1
18.5,284f8795f0013ce1,18.875,3
18.5,284f8795f0013ce1,18.9375,3
18.5,288e8395f0013c56,18,3
18.5,288e8395f0013c56,18.0625,3
18.5,288e8395f0013c56,18.25,3
18.5,288e8395f0013c56,18.3125,89
18.5,288e8395f0013c56,18.375,40
18.5,288e8395f0013c56,18.4375,128
18.5,288e8395f0013c56,18.5,56
18.5,288e8395f0013c56,18.5625,18
18.5,28b34c95f0013cbc,18.5,1
18.5,28b34c95f0013cbc,18.5625,128
18.5,28b34c95f0013cbc,18.625,141
18.5,28b34c95f0013cbc,18.6875,70
18.5,28e97895f0013cc6,18.375,40
18.5,28e97895f0013cc6,18.4375,179
18.5,28e97895f0013cc6,18.5,101
18.5,28e97895f0013cc6,18.5625,20
19.5,284f8795f0013ce1,20.0625,3
19.5,284f8795f0013ce1,20.125,3
19.5,288e8395f0013c56,18.875,6
19.5,28b34c95f0013cbc,19.625,3
19.5,28b34c95f0013cbc,19.6875,3
19.5,28e97895f0013cc6,19.3125,3
19.5,28e97895f0013cc6,19.4375,3
20.5,284f8795f0013ce1,21.3125,3
20.5,284f8795f0013ce1,21.375,3
20.5,288e8395f0013c56,19.6875,3
20.5,288e8395f0013c56,19.75,3
20.5,28b34c95f0013cbc,20.5625,3
20.5,28b34c95f0013cbc,20.625,3
20.5,28e97895f0013cc6,20.3125,3
20.5,28e97895f0013cc6,20.375,3
21.5,284f8795f0013ce1,22.5625,2
21.5,284f8795f0013ce1,22.6875,2
21.5,284f8795f0013ce1,22.75,2
21.5,288e8395f0013c56,20.6875,2
21.5,288e8395f0013c56,20.75,4
21.5,28b34c95f0013cbc,21.375,2
21.5,28b34c95f0013cbc,21.4375,4
21.5,28e97895f0013cc6,21.1875,2
21.5,28e97895f0013cc6,21.25,4
22.5,284f8795f0013ce1,23.75,4
22.5,288e8395f0013c56,21.75,2
22.5,288e8395f0013c56,21.8125,2
22.5,28b34c95f0013cbc,22.3125,2
22.5,28b34c95f0013cbc,22.375,2
22.5,28e97895f0013cc6,22.125,2
22.5,28e97895f0013cc6,22.1875,2
23.5,284f8795f0013ce1,23.6875,6
23.5,284f8795f0013ce1,24.75,4
23.5,284f8795f0013ce1,24.8125,2
23.5,288e8395f0013c56,22.8125,2
23.5,288e8395f0013c56,22.875,4
23.5,288e8395f0013c56,23.125,6
23.5,28b34c95f0013cbc,23.25,2
23.5,28b34c95f0013cbc,23.3125,2
23.5,28b34c95f0013cbc,23.375,2
23.5,28b34c95f0013cbc,23.625,6
23.5,28e97895f0013cc6,23,2
23.5,28e97895f0013cc6,23.0625,2
23.5,28e97895f0013cc6,23.125,2
23.5,28e97895f0013cc6,23.5,1
23.5,28e97895f0013cc6,23.5625,5
24.5,284f8795f0013ce1,24.75,19
24.5,284f8795f0013ce1,24.8125,36
24.5,284f8795f0013ce1,24.875,11
24.5,284f8795f0013ce1,24.9375,3
24.5,284f8795f0013ce1,25,1
24.5,284f8795f0013ce1,25.0625,2
24.5,284f8795f0013ce1,25.75,4
24.5,284f8795f0013ce1,25.8125,2
24.5,288e8395f0013c56,23.8125,4
24.5,288e8395f0013c56,23.875,6
24.5,288e8395f0013c56,23.9375,27
24.5,288e8395f0013c56,24,18
24.5,288e8395f0013c56,24.0625,1
24.5,288e8395f0013c56,24.3125,1
24.5,288e8395f0013c56,24.375,5
24.5,288e8395f0013c56,24.4375,5
24.5,288e8395f0013c56,24.5,8
24.5,288e8395f0013c56,24.5625,3
24.5,28b34c95f0013cbc,24.25,13
24.5,28b34c95f0013cbc,24.3125,10
24.5,28b34c95f0013cbc,24.375,3
24.5,28b34c95f0013cbc,24.4375,2
24.5,28b34c95f0013cbc,24.5,6
24.5,28b34c95f0013cbc,24.5625,9
24.5,28b34c95f0013cbc,24.625,25
24.5,28b34c95f0013cbc,24.6875,10
24.5,28e97895f0013cc6,24.0625,6
24.5,28e97895f0013cc6,24.3125,1
24.5,28e97895f0013cc6,24.375,8
24.5,28e97895f0013cc6,24.4375,9
24.5,28e97895f0013cc6,24.5,7
24.5,28e97895f0013cc6,24.5625,7
24.5,28e97895f0013cc6,24.625,29
24.5,28e97895f0013cc6,24.6875,11
25.5,284f8795f0013ce1,25.8125,23
25.5,284f8795f0013ce1,25.875,57
25.5,284f8795f0013ce1,25.9375,67
25.5,284f8795f0013ce1,26,49
25.5,284f8795f0013ce1,26.0625,20
25.5,284f8795f0013ce1,26.125,6
25.5,284f8795f0013ce1,26.1875,4
25.5,284f8795f0013ce1,26.25,3
25.5,284f8795f0013ce1,26.3125,2
25.5,284f8795f0013ce1,26.6875,6
25.5,284f8795f0013ce1,26.75,2
25.5,288e8395f0013c56,24.8125,4
25.5,288e8395f0013c56,24.875,6
25.5,288e8395f0013c56,24.9375,45
25.5,288e8395f0013c56,25,74
25.5,288e8395f0013c56,25.0625,30
25.5,288e8395f0013c56,25.1875,1
25.5,288e8395f0013c56,25.25,16
25.5,288e8395f0013c56,25.3125,42
25.5,288e8395f0013c56,25.375,21
25.5,28b34c95f0013cbc,25.25,3
25.5,28b34c95f0013cbc,25.3125,25
25.5,28b34c95f0013cbc,25.375,52
25.5,28b34c95f0013cbc,25.4375,30
25.5,28b34c95f0013cbc,25.5,71
25.5,28b34c95f0013cbc,25.5625,56
25.5,28b34c95f0013cbc,25.625,2
25.5,28e97895f0013cc6,25.125,8
25.5,28e97895f0013cc6,25.25,7
25.5,28e97895f0013cc6,25.3125,48
25.5,28e97895f0013cc6,25.375,30
25.5,28e97895f0013cc6,25.4375,8
25.5,28e97895f0013cc6,25.5,5
25.5,28e97895f0013cc6,25.5625,66
25.5,28e97895f0013cc6,25.625,64
25.5,28e97895f0013cc6,25.6875,3
26.5,284f8795f0013ce1,26.8125,5
26.5,284f8795f0013ce1,26.875,47
26.5,284f8795f0013ce1,26.9375,64
26.5,284f8795f0013ce1,27,27
26.5,284f8795f0013ce1,27.0625,4
26.5,284f8795f0013ce1,27.25,1
26.5,284f8795f0013ce1,27.3125,5
26.5,284f8795f0013ce1,27.375,6
26.5,284f8795f0013ce1,27.4375,3
26.5,284f8795f0013ce1,27.5625,2
26.5,284f8795f0013ce1,27.625,6
26.5,288e8395f0013c56,25.875,9
26.5,288e8395f0013c56,25.9375,23
26.5,288e8395f0013c56,26,26
26.5,288e8395f0013c56,26.0625,32
26.5,288e8395f0013c56,26.125,58
26.5,288e8395f0013c56,26.1875,2
26.5,288e8395f0013c56,26.3125,2
26.5,288e8395f0013c56,26.375,6
26.5,288e8395f0013c56,26.4375,11
26.5,288e8395f0013c56,26.5,1
26.5,28b34c95f0013cbc,26.25,5
26.5,28b34c95f0013cbc,26.3125,26
26.5,28b34c95f0013cbc,26.375,28
26.5,28b34c95f0013cbc,26.4375,39
26.5,28b34c95f0013cbc,26.5,55
26.5,28b34c95f0013cbc,26.5625,17
26.5,28e97895f0013cc6,26.1875,3
26.5,28e97895f0013cc6,26.25,19
26.5,28e97895f0013cc6,26.3125,16
26.5,28e97895f0013cc6,26.375,5
26.5,28e97895f0013cc6,26.5,13
26.5,28e97895f0013cc6,26.5625,53
26.5,28e97895f0013cc6,26.625,59
26.5,28e97895f0013cc6,26.6875,2
27.5,284f8795f0013ce1,27.6875,2
27.5,284f8795f0013ce1,27.75,2
27.5,284f8795f0013ce1,27.8125,10
27.5,284f8795f0013ce1,27.875,15
27.5,284f8795f0013ce1,28,24
27.5,284f8795f0013ce1,28.0625,40
27.5,284f8795f0013ce1,28.125,15
27.5,284f8795f0013ce1,28.1875,10
27.5,284f8795f0013ce1,28.3125,6
27.5,284f8795f0013ce1,28.375,11
27.5,284f8795f0013ce1,28.4375,20
27.5,284f8795f0013ce1,28.5,2
27.5,288e8395f0013c56,26.875,2
27.5,288e8395f0013c56,26.9375,26
27.5,288e8395f0013c56,27,50
27.5,288e8395f0013c56,27.0625,31
27.5,288e8395f0013c56,27.125,32
27.5,288e8395f0013c56,27.1875,7
27.5,288e8395f0013c56,27.375,2
27.5,288e8395f0013c56,27.5,3
27.5,288e8395f0013c56,27.5625,3
27.5,288e8395f0013c56,27.625,1
27.5,28b34c95f0013cbc,27.25,11
27.5,28b34c95f0013cbc,27.3125,32
27.5,28b34c95f0013cbc,27.375,78
27.5,28b34c95f0013cbc,27.4375,32
27.5,28b34c95f0013cbc,27.5,4
27.5,28e97895f0013cc6,27.1875,2
27.5,28e97895f0013cc6,27.25,16
27.5,28e97895f0013cc6,27.3125,15
27.5,28e97895f0013cc6,27.375,7
27.5,28e97895f0013cc6,27.4375,22
27.5,28e97895f0013cc6,27.5,40
27.5,28e97895f0013cc6,27.5625,42
27.5,28e97895f0013cc6,27.625,13
28.5,284f8795f0013ce1,28.625,2
28.5,284f8795f0013ce1,28.6875,15
28.5,284f8795f0013ce1,28.75,19
28.5,284f8795f0013ce1,28.8125,27
28.5,284f8795f0013ce1,28.875,12
28.5,284f8795f0013ce1,28.9375,4
28.5,284f8795f0013ce1,29,14
28.5,284f8795f0013ce1,29.0625,5
28.5,284f8795f0013ce1,29.125,13
28.5,284f8795f0013ce1,29.1875,2
28.5,284f8795f0013ce1,29.25,3
28.5,284f8795f0013ce1,29.3125,5
28.5,284f8795f0013ce1,29.375,6
28.5,288e8395f0013c56,27.875,1
28.5,288e8395f0013c56,27.9375,3
28.5,288e8395f0013c56,28,6
28.5,288e8395f0013c56,28.0625,22
28.5,288e8395f0013c56,28.125,64
28.5,288e8395f0013c56,28.1875,20
28.5,288e8395f0013c56,28.3125,2
28.5,288e8395f0013c56,28.375,1
28.5,288e8395f0013c56,28.4375,1
28.5,288e8395f0013c56,28.5,1
28.5,288e8395f0013c56,28.5625,2
28.5,288e8395f0013c56,28.625,1
28.5,288e8395f0013c56,28.75,3
28.5,28b34c95f0013cbc,28.0625,1
28.5,28b34c95f0013cbc,28.125,1
28.5,28b34c95f0013cbc,28.1875,2
28.5,28b34c95f0013cbc,28.25,11
28.5,28b34c95f0013cbc,28.3125,19
28.5,28b34c95f0013cbc,28.375,40
28.5,28b34c95f0013cbc,28.4375,46
28.5,28b34c95f0013cbc,28.5,7
28.5,28e97895f0013cc6,28.1875,2
28.5,28e97895f0013cc6,28.25,6
28.5,28e97895f0013cc6,28.3125,2
28.5,28e97895f0013cc6,28.375,5
28.5,28e97895f0013cc6,28.4375,15
28.5,28e97895f0013cc6,28.5,18
28.5,28e97895f0013cc6,28.5625,29
28.5,28e97895f0013cc6,28.625,42
28.5,28e97895f0013cc6,28.6875,8
29.5,284f8795f0013ce1,29.125,1
29.5,284f8795f0013ce1,29.1875,1
29.5,284f8795f0013ce1,29.4375,1
29.5,284f8795f0013ce1,29.5625,2
29.5,284f8795f0013ce1,29.625,3
29.5,284f8795f0013ce1,29.6875,16
29.5,284f8795f0013ce1,29.75,65
29.5,284f8795f0013ce1,29.8125,25
29.5,284f8795f0013ce1,29.875,7
29.5,284f8795f0013ce1,29.9375,11
29.5,288e8395f0013c56,28.9375,3
29.5,288e8395f0013c56,29,53
29.5,288e8395f0013c56,29.0625,81
29.5,288e8395f0013c56,29.125,25
29.5,288e8395f0013c56,29.1875,8
29.5,288e8395f0013c56,29.25,5
29.5,288e8395f0013c56,29.6875,2
29.5,288e8395f0013c56,29.75,2
29.5,28b34c95f0013cbc,28.6875,1
29.5,28b34c95f0013cbc,28.8125,1
29.5,28b34c95f0013cbc,28.9375,2
29.5,28b34c95f0013cbc,29,1
29.5,28b34c95f0013cbc,29.125,1
29.5,28b34c95f0013cbc,29.1875,3
29.5,28b34c95f0013cbc,29.25,7
29.5,28b34c95f0013cbc,29.3125,20
29.5,28b34c95f0013cbc,29.375,22
29.5,28b34c95f0013cbc,29.4375,36
29.5,28b34c95f0013cbc,29.5,61
29.5,28b34c95f0013cbc,29.5625,28
29.5,28b34c95f0013cbc,29.625,1
29.5,28e97895f0013cc6,29.1875,1
29.5,28e97895f0013cc6,29.25,1
29.5,28e97895f0013cc6,29.3125,4
29.5,28e97895f0013cc6,29.375,7
29.5,28e97895f0013cc6,29.4375,13
29.5,28e97895f0013cc6,29.5,23
29.5,28e97895f0013cc6,29.5625,22
29.5,28e97895f0013cc6,29.625,16
29.5,28e97895f0013cc6,29.6875,44
29.5,28e97895f0013cc6,29.75,49
29.5,28e97895f0013cc6,29.8125,4
30.5,288e8395f0013c56,29.9375,10
30.5,28b34c95f0013cbc,29.75,1
